,categories,descriptions,rating,title
229,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract of the plant Borago officinalis, it can have skni-soothing properties...
				                </p>",Best,borage seed extract
230,"['Skin-Soothing', 'Emollients', 'Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Non-fragrant plant oil that contains gamma linolenic acid and other essential fatty acids for skin.
				                </p>",Best,borage seed oil
231,"['Skin-Soothing', 'Antioxidants', 'Emollients', 'Plant Extracts']",,Best,Borago officinalis extract
232,"['Skin-Soothing', 'Plant Extracts', 'Emollients', 'Antioxidants']",,Best,Borago officinalis seed oil
233,['Preservatives'],"<p class=""description ingredient-description"">
				                	Group of compounds used in cosmetics in small quantities primarily as pH adjusters (they have a pH...
				                </p>",Poor,borate
234,['Preservatives'],"<p class=""description ingredient-description"">
				                	Also known as sodium borate decahydrate, borax is a mineral composed of sodium, boron, oxygen, and...
				                </p>",Poor,borax
235,['Preservatives'],"<p class=""description ingredient-description"">
				                	May have skin soothing and restoring benefits…
				                </p>",Good,boric acid
236,['Absorbent'],"<p class=""description ingredient-description"">
				                	Synthetic, inorganic powder, which in cosmetics has absorbent properties similar to those of...
				                </p>",Good,boron nitride
237,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Boswellia carterii
238,"['Skin-Soothing', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	An extract from the gum resin of a tree and also a source of Indian frankincense, this plant extract has both positive and negative qualities for skin.
				                </p>",Average,Boswellia serrata extract
239,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	General term for a large group of natural ingredients. Botanicals may or may not be organic, and...
				                </p>",Average,botanicals
240,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Berry that can have potent antioxidant properties (Source: Journal of Agricultural Food Chemistry,...
				                </p>",Best,boysenberry
241,"['Antioxidants', 'Emollients']",,Best,Brassica campestris
242,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract for which there is a small amount of research showing it can have antioxidant properties...
				                </p>",Good,Brazil nut extract
243,['Sunscreen Actives'],"<p class=""description ingredient-description"">
				                	Term that, when applied to sunscreen, refers to a sunscreen’s ability to protect the skin from both...
				                </p>",Good,broad spectrum
244,"['Plant Extracts', 'Exfoliant']","<p class=""description ingredient-description"">
				                	Bromelain is an extract from the pineapple that contains, among other components, various...
				                </p>",Good,bromelain
245,['Preservatives'],"<p class=""description ingredient-description"">
				                	Technical name 2-bromo-2-nitropropane-1,3-diol, a formaldehyde-releasing preservative (Source:...
				                </p>",Poor,bronopol
246,['Coloring Agents/Pigments'],"<p class=""description ingredient-description"">
				                	Mineral coloring agent derived from copper. Permanently listed (since 1977) by the FDA as a safe...
				                </p>",Good,bronze powder
247,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Plant also known as summer lilac or butterfly bush (because the flowers are a food source for...
				                </p>",Best,Buddleja davidii extract
248,['Sunscreen Actives'],"<p class=""description ingredient-description"">
				                	Sunscreen ingredient that absorbs primarily UVB light.
				                </p>",Good,bumetrizole
249,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	A plant used in Chinese medicine for a varitety of ailments ranging from the common cold to liver...
				                </p>",Average,Bupleurum falcatum extract
250,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Plant extract whose active constituents are skin soothing and antioxidant…
				                </p>",Best,burdock root
251,"['Film-Forming Agents', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Solvent used in nail polish and many other products.
				                </p>",Good,butyl acetate
252,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Commonly-used ingredient that has multiple functions in cosmetics, including....
				                </p>",Good,butylene glycol
253,['Sunscreen Actives'],,Best,butyl methoxydibenzoylmethane
254,['Preservatives'],"<p class=""description ingredient-description"">
				                	Parabens are a group of controversial preservatives that include butylparaben...
				                </p>",Good,butylparaben
255,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Synthetic fragrance ingredient with a strong floral scent.
				                </p>",Poor,butylphenyl methylpropional
256,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Fruit from the karite tree, scientific name Butyrospermum parkii, from which the fat is obtained to...
				                </p>",Best,Butyrospermum fruit
257,"['Plant Extracts', 'Emollients', 'Skin-Replenishing']",,Best,Butyrospermum parkii
258,"['Plant Extracts', 'Skin-Replenishing', 'Emollients']",,Best,Buxus chinensis
259,['Emollients'],"<p class=""description ingredient-description"">
				                	Blend of cholesterol and fatty acid ester from lanolin. Functions as a skin conditioning agent.
				                </p>",Best,C10-30 cholesterol/lanosterol esters
260,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Synthetic ingredient used as an emollient and texture enhancing agent in cosmetics.
				                </p>",Good,C12-15 alkyl benzoate
261,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Used as an emollient and thickening agent in cosmetics.
				                </p>",Good,C12-18 acid triglyceride
262,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	A petroleum-derived ingredient whose wax-like texture functions as a thickening or gelling agent.
				                </p>",Good,C13-14 isoparaffin
263,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Used as an emollient and thickening agent in cosmetics.
				                </p>",Good,C18-36 acid triglyceride
264,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Mixture of polyethylene glycols of various molecular weight that can function as stabilizing...
				                </p>",Good,C20-40 pareth-40
265,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Antioxidant that has multiple benefits for skin…
				                </p>",Best,caffeic acid
266,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Caffeine is the chief stimulant in beverages such as coffee and tea. It’s often included in skincare products with claims...
				                </p>",Average,caffeine
267,['Plant Extracts'],,Poor,cajeputi oil
268,['Sensitizing'],"<p class=""description ingredient-description"">
				                	Preparation of zinc carbonate, colored with ferric oxide (a form of rust). Zinc carbonate is a...
				                </p>",Poor,calamine
269,"['Antioxidants', 'Vitamins']","<p class=""description ingredient-description"">
				                	Form of vitamin C; other forms include ascorbic acid, L-ascorbic acid, ascorbyl palmitate, and...
				                </p>",Best,calcium ascorbate
270,['Absorbent'],"<p class=""description ingredient-description"">
				                	Chalk; used as an absorbent in cosmetics.
				                </p>",Good,calcium carbonate
271,['Vitamins'],,Good,calcium d-pantetheine-s-sulfonate
272,['Skin-Soothing'],"<p class=""description ingredient-description"">
				                	Calcium is an essential mineral for the body. A small amount of research shows calcium gluconate...
				                </p>",Good,calcium gluconate
273,['Vitamins'],"<p class=""description ingredient-description"">
				                	Also known as pantothenic acid.
				                </p>",Good,calcium pantothenate
274,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract derived from the plant commonly known as pot marigold, there is little research showing...
				                </p>",Good,calendula extract
275,"['Antioxidants', 'Plant Extracts']",,Good,Calendula officinalis flower extract
276,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Also known as heather extract, this plant has skin-soothing properties...
				                </p>",Best,Calluna vulgaris flower extract
277,['Plant Extracts'],,Good,Calophyllum inophyllum seed oil
278,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	The leaf has been shown to be an antioxidant...
				                </p>",Best,Camellia japonica
279,"['Antioxidants', 'Plant Extracts']",,Best,Camellia oleifera
280,"['Antioxidants', 'Plant Extracts']",,Best,Camellia sinensis
281,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Aromatic substance obtained from the wood of a tree common to Southeast Asia, Cinnamomum camphora,...
				                </p>",Poor,camphor
282,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Fragrance used in cosmetics; it can be sensitizing to skin, much like ylang ylang.
				                </p>",Poor,cananga extract
283,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Cananga odorata
284,['Thickeners/Emulsifiers'],"<p class=""description ingredient-description"">
				                	A natural mixture of polyglycerin-3, candelilla wax, jojoba seed wax, and rice bran wax...
				                </p>",Best,candelilla/jojoba/rice bran polyglyceryl-3 esters
285,"['Plant Extracts', 'Emollients', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Extract derived from candelilla plants; used as a thickening agent and emollient to give products...
				                </p>",Good,candelilla wax
286,"['Plant Extracts', 'Emollients']",,Good,Cannabis sativa L. oil
287,"['Skin-Soothing', 'Skin-Replenishing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Plant lipid that has skin restoring and soothing properties…
				                </p>",Best,canola oil
288,"['Skin-Replenishing', 'Skin-Restoring']","<p class=""description ingredient-description"">
				                	A mixture of fatty acids caproic acid and phytosphingosine.
				                </p>",Best,caprooyl phytosphingosine
289,"['Skin-Replenishing', 'Skin-Restoring']","<p class=""description ingredient-description"">
				                	A mixture of fatty acids caproic acid and sphingosine.
				                </p>",Best,caprooyl sphingosine
290,['Skin-Restoring'],"<p class=""description ingredient-description"">
<p>A synthetic or plant-derived signal peptide that’s said to help to boost the...</p>
</p>",Best,caprooyl tetrapeptide-3
291,"['Plant Extracts', 'Emollients', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Derived from coconut oil and glycerin, it’s considered an excellent emollient and skin-replenishing ingredient.
				                </p>",Best,caprylic/capric triglyceride
292,"['Film-Forming/Holding Agents', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	A naturally-derived (coconut and castor oil) or synthetic ingredient...
				                </p>",Good,capryloyl glycerin/sebacic acid copolymer
293,['Hydration'],"<p class=""description ingredient-description"">
<p>A synthetic amino acid derivative that function as a conditioning agent or...</p>
</p>",Good,capryloyl glycine
294,"['Plant Extracts', 'Preservatives']","<p class=""description ingredient-description"">
				                	Skin and hair conditioning agent that may be plant-derived or synthetic. Often used as part of a...
				                </p>",Good,caprylyl glycol
295,"['Silicones', 'Emollients']",,Good,caprylyl methicone
296,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Component of capsicum. When used topically, capsaicin can prevent the transmission of pain. It is...
				                </p>",Poor,capsaicin
297,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Large group of plants consisting primarily of the pepper family, including chili peppers and...
				                </p>",Poor,capsicum
298,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Fatty resin derived from capsicum plants. It can be sensitizing to skin...
				                </p>",Poor,capsicum oleoresin
299,['Coloring Agents/Pigments'],"<p class=""description ingredient-description"">
				                	Natural coloring agent.
				                </p>",Good,caramel
300,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Group of thickening agents used primarily to create gel-like formulations.
				                </p>",Good,carbomer
301,['Texture Enhancer'],,Good,carbopol
302,['Antioxidants'],,Best,carboxylic acid
303,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Plant of the ginger family, used as fragrance in cosmetics. Terpene, one of its major constituents,...
				                </p>",Poor,cardamom
304,['Coloring Agents/Pigments'],"<p class=""description ingredient-description"">
				                	Natural red color that comes from the dried female cochineal beetle. It is sometimes used to color...
				                </p>",Good,carmine
305,"['Plant Extracts', 'Absorbent', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Natural, hard wax obtained from the leaves of palm trees. Used primarily as a thickening agent, but...
				                </p>",Good,carnauba wax
306,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Naturally occurring amino acid. Deficiencies of this small but essential component can result in...
				                </p>",Best,carnitine
307,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Component of rosemary that is an antioxidant...
				                </p>",Best,carnosic acid
308,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Composed of amino acids, it has soothing and antioxidant properties...
				                </p>",Best,carnosine
309,"['Antioxidants', 'Plant Extracts']",,Best,carnosol acid
310,"['Plant Extracts', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Seaweed gum used in cosmetics as a thickening agent with water-binding properties.
				                </p>",Good,carrageenan
311,"['Plant Extracts', 'Skin-Replenishing', 'Emollients']","<p class=""description ingredient-description"">
				                	Emollient plant oil similar to other nonfragrant plant oils.
				                </p>",Best,carrot oil
312,"['Plant Extracts', 'Emollients']",,Best,Carthamus tinctorius oil
313,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Essential oil used as a flavoring agent and fragrance component in cosmetics. It can be a...
				                </p>",Poor,carvone
314,"['Plant Extracts', 'Emollients']",,Good,Carya illinoensis oil
315,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Substance derived from milk protein that may have some antioxidant properties when applied...
				                </p>",Good,casein
316,['Plant Extracts'],,Good,Castanea sativa seed extract
317,['Emollients'],"<p class=""description ingredient-description"">
				                	A mix of esters formed by the reaction of castor seed oil, isostearic acid, and succinic acid. This ingredient functions...
				                </p>",Good,castor isostearate succinate
318,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Vegetable oil derived from the castor bean. It is used in cosmetics as an emollient, though its...
				                </p>",Good,castor oil
319,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Enzyme that decomposes hydrogen peroxide into water and oxygen and that has significant antioxidant...
				                </p>",Best,catalase
320,"['Antioxidants', 'Texture Enhancer', 'Emollients', 'Plant Extracts']",,Good,Caulerpa taxifolia extract
321,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Fragrant plant extract. There is evidence that cedarwood oil is sensitizing...
				                </p>",Poor,cedarwood
322,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Fragrant oil that can aggravate skin...
				                </p>",Poor,Cedrus atlantica bark extract
323,"['Plant Extracts', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Primary fiber component of plants. Used in cosmetics as a thickening agent and to bind other...
				                </p>",Good,cellulose
324,"['Plant Extracts', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Any of various fibrous substances derived from plants. Cellulose gum is a natural ingredient..
				                </p>",Good,Cellulose gum
325,"['Skin-Soothing', 'Plant Extracts']",,Best,Centaurea cyanus
326,"['Skin-Soothing', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Extract of herb that may be listed on labels as asiatic acid, hydrocotyl, or gotu kola. It has...
				                </p>",Best,Centella asiatica
327,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Phospholipid.
				                </p>",Best,cephalin
328,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	See beeswax...
				                </p>",Good,Cera alba
329,['Emollients'],,Good,cera microcristallina
330,['Skin-Replenishing'],,Best,ceramide AP
331,['Skin-Replenishing'],,Best,ceramide EOP
332,['Skin-Replenishing'],,Best,ceramide EOS
333,['Skin-Replenishing'],,Best,ceramide NG
334,['Skin-Replenishing'],"<p class=""description ingredient-description"">
				                	One of several types of ceramides.
				                </p>",Best,ceramide NP
335,['Skin-Replenishing'],,Best,ceramide NS
336,"['Skin-Restoring', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Naturally occurring, long chains of lipids (fats) that are major components of skin’s outer...
				                </p>",Best,ceramides
337,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Derived from clay, ceresin is a waxy ingredient used as a thickening agent in cosmetics. It can be...
				                </p>",Good,ceresin
338,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Fatty alcohol that is used to thicken cosmetics and keep ingredients mixed together and stable.
				                </p>",Good,ceteareth-20
339,"['Emulsifiers', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	A fatty alcohol that functions as an emulsifier and surfactant in cosmetics.
				                </p>",Good,ceteareth-25
340,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other...
				                </p>",Good,cetearyl alcohol
341,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Oil-like liquid that functions as an emollient to prevent skin from losing moisture. Also...
				                </p>",Good,cetearyl ethylhexanoate
342,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	A blend of cetearyl alcohol and glucose that functions as an emulsifier.
				                </p>",Good,cetearyl glucoside
343,"['Texture Enhancer', 'Skin-Replenishing', 'Emollients']",,Good,cetearyl octanoate
344,['Emollients'],"<p class=""description ingredient-description"">
				                	A mixture of cetyl alcohol and acetic acid used as a skin-replenishing agent and emollient.
				                </p>",Good,cetyl acetate
345,"['Thickeners/Emulsifiers', 'Emollients']","<p class=""description ingredient-description"">
				                	Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other...
				                </p>",Good,cetyl alcohol
346,['Silicones'],"<p class=""description ingredient-description"">
				                	Silicone polymer that functions as skin-conditioning agent.
				                </p>",Good,cetyl dimethicone
347,"['Silicones', 'Emollients']",,Good,cetyl dimethicone copolyol
348,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Synthetic wax used in cosmetics as a thickening agent and emollient.
				                </p>",Good,cetyl esters
349,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	A mixture of cetyl alcohol and Hydroxyethylcellulose. It functions as thickener and stabilizing...
				                </p>",Good,cetyl hydroxyethylcellulose
350,['Emollients'],"<p class=""description ingredient-description"">
				                	The ester of cetyl palmitate and palmitic acid, this thickener and emollient helps smooth and condition dry skin while preventing moisture loss.
				                </p>",Good,cetyl palmitate
351,"['Texture Enhancer', 'Silicones']","<p class=""description ingredient-description"">
				                	Silicone that functions as a skin-conditioning agent and emulsifier.
				                </p>",Good,cetyl PEG/PPG-10/1-dimethicone
352,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Ingredient derived from plant species Chamomilla recutita, Matricaria recutita, and Matricaria chamomilla...
				                </p>",Best,chamomile
353,"['Antioxidants', 'Plant Extracts']",,Best,Chamomilla recutita flower extract
354,['Absorbent'],"<p class=""description ingredient-description"">
				                	Primarily carbon substance formed by charring organic material in absence of oxygen. One...
				                </p>",Good,charcoal
355,['Absorbent'],"<p class=""description ingredient-description"">
				                	Primarily carbon substance formed by charring organic material in absence of oxygen...
				                </p>",Good,charcoal powder
356,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Any of numerous ingredients that bind with metal ions or metallic compounds, preventing them from...
				                </p>",Good,chelating agent
357,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Also known as wild cherry and sweet cherry, this fruit is a natural source of vitamin C and...
				                </p>",Average,cherry extract
358,['Absorbent'],,Good,China clay
359,"['Skin-Soothing', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Derived from chitin, a polysaccharide found in the exoskeletons of shrimp, lobster, and crabs. It...
				                </p>",Best,chitosan
360,"['Antioxidants', 'Texture Enhancer', 'Emollients', 'Plant Extracts']",,Good,chlorella
361,['Preservatives'],"<p class=""description ingredient-description"">
				                	Used as a preservative in cosmetics.
				                </p>",Good,chlorophene
362,['Preservatives'],"<p class=""description ingredient-description"">
				                	Chemical compound used as a preservative and cleansing agent due to its action...
				                </p>",Good,chloroxylenol
363,['Preservatives'],"<p class=""description ingredient-description"">
				                	Type of alcohol used as a preservative in cosmetics...
				                </p>",Good,chlorphenesin
364,"['Antioxidants', 'Vitamins']","<p class=""description ingredient-description"">
				                	Technical name for vitamin D.
				                </p>",Good,cholecalciferol
365,"['Emollients', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	The surface of skin depends on the stratum corneum lipid matrix, which...
				                </p>",Best,cholesterol
366,['Vitamins'],"<p class=""description ingredient-description"">
				                	Part of the vitamin B complex and a constituent of many other biologically important molecules,...
				                </p>",Best,choline
367,['Skin-Replenishing'],,Best,chondroitin sulfate
368,"['Antioxidants', 'Emollients', 'Plant Extracts', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Form of red seaweed.
				                </p>",Good,Chondrus crispus
369,['Coloring Agents/Pigments'],"<p class=""description ingredient-description"">
				                	Earth mineral used as a coloring agent/additive and permanently listed (as of 1977) by the FDA for...
				                </p>",Good,chromium hydroxide green
370,['Coloring Agents/Pigments'],,Good,chromium oxide green
371,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Can have soothing benefit for skin.
				                </p>",Average,chrysanthemum extract
372,['Plant Extracts'],,Average,Chrysanthemum parthenium extract
373,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Source of a plant extract with antioxidant properties (Source: Archives of Pharmaceutical Research,...
				                </p>",Good,Cichorium intybus
374,['Plant Extracts'],,Average,Cimicifuga racemosa root extract
375,"['Antioxidants', 'Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Cinnamomum
376,['Plant Extracts'],,Poor,Cinnamomum camphora
377,"['Antioxidants', 'Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Can have antioxidant properties when applied to skin...
				                </p>",Poor,cinnamon
378,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	A volatile fragrance ingredient that contains extracts from cinnamon and balsam of Peru...
				                </p>",Poor,cinnamyl alcohol
379,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Extract derived from citrus and used primarily to adjust the pH of products to prevent them from...
				                </p>",Good,citric acid
380,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	A volatile fragrance chemical extracted from geranium, rose, and other plants, citronellol has a characteristic grassy, citrus-like scent.
				                </p>",Poor,citronellol
381,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Bitter apple; considered sensitizing to skin.
				                </p>",Poor,Citrullus colocynthis
382,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Citrus amara
383,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Citrus aurantifolia
384,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Citrus aurantium
385,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Bitter orange extract. It can have antioxidant properties when eaten (Source: Journal of...
				                </p>",Poor,Citrus aurantium extract
386,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Citrus medica limonium
387,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Plant extract more commonly known as the satsuma. This medium-sized citrus fruit is native to...
				                </p>",Average,Citrus unshiu
388,"['Antioxidants', 'Plant Extracts']",,Average,Citrus unshiu peel extract
389,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Used as fragrance; can be a skin sensitizer.
				                </p>",Poor,clary oil
390,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Also known as Salvia sclarea, the extract from the clary sage plant (not to be confused with common sage leaf) has antioxidant properties, although it isn’t nearly as well researched as several other plant extracts with antioxidant benefits...
				                </p>",Good,clary sage
391,['Absorbent'],,Good,clay
392,['Plant Extracts'],,Poor,clove leaf
393,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Potent skin sensitizer when applied repeatedly...
				                </p>",Poor,clove oil
394,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Contains eugenol, which can be a skin sensitizer and cause photosensitivity.
				                </p>",Poor,clover blossom
395,['Plant Extracts'],,Poor,clover leaf oil
396,"['Texture Enhancer', 'Cleansing Agents']","<p class=""description ingredient-description"">
				                	Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used ingredients to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties...
				                </p>",Average,cocamide DEA and MEA
397,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	One of the more gentle surfactants used in skincare products.
				                </p>",Good,cocamidopropyl betaine
398,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	An antistatic agent derived from coconut oil, though it may be produced synthetically, too...
				                </p>",Good,cocamidopropyl dimethylamine
399,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Mild surfactant.
				                </p>",Good,cocamidopropyl hydroxysultaine
400,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Oil extracted from cocoa beans, used as an emollient and with properties similar to those of other...
				                </p>",Best,cocoa butter
401,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Can have antioxidant properties...
				                </p>",Best,cocoa extract
402,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	A mixture of fatty alcohol from coconut and glucose. Chiefly functions as a cleansing agent. May be...
				                </p>",Good,coco-glucoside
403,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Used as an emollient and thickening agent in cosmetics.
				                </p>",Good,cocoglycerides
404,"['Plant Extracts', 'Cleansing Agents']","<p class=""description ingredient-description"">
				                	Has degreasing and cleansing properties, which is why detergent cleansing agents are frequently...
				                </p>",Good,coconut
405,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Non-volatile plant kernel oil that has emollient properties for skin.
				                </p>",Best,coconut oil
406,['Skin-Softening'],"<p class=""description ingredient-description"">
				                	The extract of the fruit of the coconut tree, this ingredient is rich in skin-conditioning fatty acids, proteins, and complex B vitamins.
				                </p>",Best,cocos nucifera (coconut) fruit extract
407,"['Plant Extracts', 'Emollients']",,Best,Cocus nucifera
408,"['Antioxidants', 'Plant Extracts', 'Texture Enhancer', 'Emollients']",,Good,Codium tomentosum extract
409,"['Skin-Soothing', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Also known as ubiquinone, it is a vitamin-like, fat-soluble substance present in skin....
				                </p>",Best,coenzyme Q10
410,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	The concentrated oil from the coffee bean plant, whichis green, not dark brown as this color doesn't occur until coffee beans are roasted. Research on this oil's effect on skin...
				                </p>",Best,Coffea arabica (coffee) seed oil
411,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Coffea arabica is the coffee plant, and there is research showing that coffee extract has...
				                </p>",Best,Coffea arabica seed extract
412,['Plant Extracts'],,Average,Cola acuminata seed extract
413,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Member of the mint family and also known as forskolin; can be a skin sensitizer...
				                </p>",Poor,Coleus barbatus
414,"['Hydration', 'Skin-Replenishing']","<p class=""description ingredient-description"">
<p>Collagen amino acids are made from the hydrolylsis (breaking down with water) of protein...</p>
</p>",Good,collagen amino acids
415,['Skin-Soothing'],,Best,colloidal oatmeal
416,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Refers to ground-up silver suspended in solution.
				                </p>",Poor,colloidal silver
417,"['Sensitizing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Several studies have shown that comfrey extract can have harmful properties when...
				                </p>",Poor,comfrey extract
418,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Commiphora myrrha extract
419,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Another name for echinacea; has soothing properties.
				                </p>",Good,coneflower
420,['Plant Extracts'],,Poor,Copaifera officinalis
421,"['Plant Extracts', 'Texture Enhancer', 'Absorbent']",,Good,Copernicia cerifera wax
422,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Also known simply as copper, this mineral is an important trace element for human nutrition. The...
				                </p>",Good,copper gluconate
